Year-Month,Date,Values
2022-03,12.03.2022,2646.25
2022-03,12.03.2022,2646.25
2022-03,12.03.2022,2646.25
2022-03,12.03.2022,2646.25
2022-03,12.03.2022,2646.25
2022-03,12.03.2022,2646.25
2022-03,12.03.2022,2646.25
2022-03,12.03.2022,2646.25
2022-03,12.03.2022,2646.25
2022-03,12.03.2022,2646.25
2022-03,12.03.2022,1378.97
2022-03,13.03.2022,1378.97
2022-03,13.03.2022,1378.97
2022-03,13.03.2022,1378.97
2022-03,13.03.2022,1378.97
2022-03,13.03.2022,1378.97
2022-03,13.03.2022,1378.97
2022-03,13.03.2022,1378.97
2022-03,13.03.2022,2646.25
2022-03,13.03.2022,2646.25
2022-03,13.03.2022,2646.25
2022-03,13.03.2022,2646.25
2022-03,13.03.2022,2646.25
2022-03,13.03.2022,2646.25
2022-03,13.03.2022,2646.25
2022-03,13.03.2022,2646.25
2022-03,13.03.2022,2646.25
2022-03,13.03.2022,2646.25
2022-03,13.03.2022,2646.25
2022-03,13.03.2022,2646.25
2022-03,13.03.2022,2646.25
2022-03,13.03.2022,2646.25
2022-03,13.03.2022,2646.25
2022-03,13.03.2022,2646.25
2022-03,13.03.2022,1378.97
2022-03,14.03.2022,1378.97
2022-03,14.03.2022,1378.97
2022-03,14.03.2022,1378.97
2022-03,14.03.2022,1378.97
2022-03,14.03.2022,1378.97
2022-03,14.03.2022,1378.97
2022-03,14.03.2022,1378.97
2022-03,14.03.2022,2646.25
2022-03,14.03.2022,2646.25
2022-03,14.03.2022,2646.25
2022-03,14.03.2022,2646.25
2022-03,14.03.2022,2646.25
2022-03,14.03.2022,2646.25
2022-03,14.03.2022,2646.25
2022-03,14.03.2022,2646.25
2022-03,14.03.2022,2646.25
2022-03,14.03.2022,2646.25
2022-03,14.03.2022,2646.25
2022-03,14.03.2022,2646.25
2022-03,14.03.2022,2646.25
2022-03,14.03.2022,2646.25
2022-03,14.03.2022,2646.25
2022-03,14.03.2022,2646.25
2022-03,14.03.2022,1378.97
2022-03,15.03.2022,1378.97
2022-03,15.03.2022,1378.97
2022-03,15.03.2022,1378.97
2022-03,15.03.2022,1378.97
2022-03,15.03.2022,1378.97
2022-03,15.03.2022,1378.97
2022-03,15.03.2022,1378.97
2022-03,15.03.2022,2646.25
2022-03,15.03.2022,2646.25
2022-03,15.03.2022,2646.25
2022-03,15.03.2022,2646.25
2022-03,15.03.2022,2646.25
2022-03,15.03.2022,2646.25
2022-03,15.03.2022,2646.25
2022-03,15.03.2022,2646.25
2022-03,15.03.2022,2646.25
2022-03,15.03.2022,2646.25
2022-03,15.03.2022,2646.25
2022-03,15.03.2022,2646.25
2022-03,15.03.2022,2646.25
2022-03,15.03.2022,2646.25
2022-03,15.03.2022,2646.25
2022-03,15.03.2022,2646.25
2022-03,15.03.2022,1378.97
2022-03,16.03.2022,1378.97
2022-03,16.03.2022,1378.97
2022-03,16.03.2022,1378.97
2022-03,16.03.2022,1378.97
2022-03,16.03.2022,1378.97
2022-03,16.03.2022,1378.97
2022-03,16.03.2022,1378.97
2022-03,16.03.2022,2646.25
2022-03,16.03.2022,2646.25
2022-03,16.03.2022,2646.25
2022-03,16.03.2022,2646.25
2022-03,16.03.2022,2646.25
2022-03,16.03.2022,2646.25
2022-03,16.03.2022,2646.25
2022-03,16.03.2022,2646.25
2022-03,16.03.2022,2646.25
2022-03,16.03.2022,2646.25
2022-03,16.03.2022,2646.25
2022-03,16.03.2022,2646.25
2022-03,16.03.2022,2646.25
2022-03,16.03.2022,2646.25
2022-03,16.03.2022,2646.25
2022-03,16.03.2022,2646.25
2022-03,16.03.2022,1378.97
2022-03,17.03.2022,1378.97
2022-03,17.03.2022,1378.97
2022-03,17.03.2022,1378.97
2022-03,17.03.2022,1378.97
2022-03,17.03.2022,1378.97
2022-03,17.03.2022,1378.97
2022-03,17.03.2022,1378.97
2022-03,17.03.2022,2646.25
2022-03,17.03.2022,2646.25
2022-03,17.03.2022,2646.25
2022-03,17.03.2022,2646.25
2022-03,17.03.2022,2646.25
2022-03,17.03.2022,2646.25
2022-03,17.03.2022,2646.25
2022-03,17.03.2022,2646.25
2022-03,17.03.2022,2646.25
2022-03,17.03.2022,2646.25
2022-03,17.03.2022,2646.25
2022-03,17.03.2022,2646.25
2022-03,17.03.2022,2646.25
2022-03,17.03.2022,2646.25
2022-03,17.03.2022,2646.25
2022-03,17.03.2022,2646.25
2022-03,17.03.2022,1378.97
2022-03,18.03.2022,1378.97
2022-03,18.03.2022,1378.97
2022-03,18.03.2022,1378.97
2022-03,18.03.2022,1378.97
2022-03,18.03.2022,1378.97
2022-03,18.03.2022,1378.97
2022-03,18.03.2022,1378.97
2022-03,18.03.2022,2646.25
2022-03,18.03.2022,2646.25
2022-03,18.03.2022,2646.25
2022-03,18.03.2022,2646.25
2022-03,18.03.2022,2646.25
2022-03,18.03.2022,2646.25
2022-03,18.03.2022,2646.25
2022-03,18.03.2022,2646.25
2022-03,18.03.2022,2646.25
2022-03,18.03.2022,2646.25
2022-03,18.03.2022,2646.25
2022-03,18.03.2022,2646.25
2022-03,18.03.2022,2646.25
2022-03,18.03.2022,2646.25
2022-03,18.03.2022,2646.25
2022-03,18.03.2022,2646.25
2022-03,18.03.2022,1378.97
2022-03,19.03.2022,1378.97
2022-03,19.03.2022,1378.97
2022-03,19.03.2022,1378.97
2022-03,19.03.2022,1378.97
2022-03,19.03.2022,1378.97
2022-03,19.03.2022,1378.97
2022-03,19.03.2022,1378.97
2022-03,19.03.2022,2646.25
2022-03,19.03.2022,2646.25
2022-03,19.03.2022,2646.25
2022-03,19.03.2022,2646.25
2022-03,19.03.2022,2646.25
2022-03,19.03.2022,2646.25
2022-03,19.03.2022,2646.25
2022-03,19.03.2022,2646.25
2022-03,19.03.2022,2646.25
2022-03,19.03.2022,2646.25
2022-03,19.03.2022,2646.25
2022-03,19.03.2022,2646.25
2022-03,19.03.2022,2646.25
2022-03,19.03.2022,2646.25
2022-03,19.03.2022,2646.25
2022-03,19.03.2022,2646.25
2022-03,19.03.2022,1378.97
2022-03,20.03.2022,1378.97
2022-03,20.03.2022,1378.97
2022-03,20.03.2022,1378.97
2022-03,20.03.2022,1378.97
2022-03,20.03.2022,1378.97
2022-03,20.03.2022,1378.97
2022-03,20.03.2022,1378.97
2022-03,20.03.2022,2646.25
2022-03,20.03.2022,2646.25
2022-03,20.03.2022,2646.25
2022-03,20.03.2022,2646.25
2022-03,20.03.2022,2646.25
2022-03,20.03.2022,2646.25
2022-03,20.03.2022,2646.25
2022-03,20.03.2022,2646.25
2022-03,20.03.2022,2646.25
2022-03,20.03.2022,2646.25
2022-03,20.03.2022,2646.25
2022-03,20.03.2022,2646.25
2022-03,20.03.2022,2646.25
2022-03,20.03.2022,2646.25
2022-03,20.03.2022,2646.25
2022-03,20.03.2022,2646.25
2022-03,20.03.2022,1378.97
2022-03,21.03.2022,1378.97
2022-03,21.03.2022,1378.97
2022-03,21.03.2022,1378.97
2022-03,21.03.2022,1378.97
2022-03,21.03.2022,1378.97
2022-03,21.03.2022,1378.97
2022-03,21.03.2022,1378.97
2022-03,21.03.2022,2646.25
2022-03,21.03.2022,2646.25
2022-03,21.03.2022,2646.25
2022-03,21.03.2022,2646.25
2022-03,21.03.2022,2646.25
2022-03,21.03.2022,2646.25
2022-03,21.03.2022,2646.25
2022-03,21.03.2022,2646.25
2022-03,21.03.2022,2646.25
2022-03,21.03.2022,2646.25
2022-03,21.03.2022,2646.25
2022-03,21.03.2022,2646.25
2022-03,21.03.2022,2646.25
2022-03,21.03.2022,2646.25
2022-03,21.03.2022,2646.25
2022-03,21.03.2022,2646.25
2022-03,21.03.2022,1378.97
2022-03,22.03.2022,1378.97
2022-03,22.03.2022,1378.97
2022-03,22.03.2022,1378.97
2022-03,22.03.2022,1378.97
2022-03,22.03.2022,1378.97
2022-03,22.03.2022,1378.97
2022-03,22.03.2022,1378.97
2022-03,22.03.2022,2646.25
2022-03,22.03.2022,2646.25
2022-03,22.03.2022,2646.25
2022-03,22.03.2022,2646.25
2022-03,22.03.2022,2646.25
2022-03,22.03.2022,2646.25
